ID,frequency,cue,target,Acc,RT_corr,RT_corr_median,N
2,7,lower,incongRight,1,0.554590833333333,0.5886675,6
2,7,upper,congLeft,1,0.485479166666667,0.49604,6
2,7,upper,congRight,1,0.459264166666667,0.46946,6
2,7,upper,incongLeft,1,0.527741666666667,0.52727,6
2,7,upper,incongRight,1,0.528110833333333,0.5283325,6
3,0,blank,congLeft,1,0.5907925,0.5921125,12
3,0,blank,congRight,1,0.549530416666667,0.5345675,12
3,0,blank,incongLeft,0.916666666666667,0.659685,0.69813,11
3,0,blank,incongRight,0.818181818181818,0.628792222222222,0.650635,9
3,0,centre,congLeft,1,0.542894583333333,0.5165425,12
3,0,centre,congRight,1,0.518636666666667,0.508025,12
3,0,centre,incongLeft,0.909090909090909,0.6832565,0.65986,10
3,0,centre,incongRight,1,0.681214545454545,0.713185,11
3,0,lower,congLeft,1,0.510011666666667,0.480175,6
3,0,lower,congRight,1,0.4794325,0.466145,6
3,0,lower,incongLeft,1,0.550170833333333,0.5243325,6
3,0,lower,incongRight,1,0.5841775,0.5677,6
3,0,upper,congLeft,1,0.469549166666667,0.4600875,6
3,0,upper,congRight,1,0.475281666666667,0.4768125,6
3,0,upper,incongLeft,1,0.595425833333333,0.56023,6
3,0,upper,incongRight,1,0.525255833333333,0.50513,6
3,4,blank,congLeft,1,0.568950909090909,0.56797,11
3,4,blank,congRight,1,0.5818,0.5672,12
3,4,blank,incongLeft,1,0.6886815,0.6810275,10
3,4,blank,incongRight,1,0.654791666666667,0.6597025,12
3,4,centre,congLeft,1,0.55095625,0.5416775,12
3,4,centre,congRight,1,0.573795,0.552575,11
3,4,centre,incongLeft,0.909090909090909,0.6699295,0.6657375,10
3,4,centre,incongRight,1,0.675452916666667,0.67492,12
3,4,lower,congLeft,1,0.507153333333333,0.51816,6
3,4,lower,congRight,1,0.47056,0.4528975,6
3,4,lower,incongLeft,1,0.576968333333333,0.54998,6
3,4,lower,incongRight,1,0.588632,0.550985,5
3,4,upper,congLeft,1,0.460134166666667,0.4677325,6
3,4,upper,congRight,1,0.488468333333333,0.483155,6
3,4,upper,incongLeft,1,0.581484166666667,0.5660025,6
3,4,upper,incongRight,0.833333333333333,0.596862,0.61702,5
3,7,blank,congLeft,1,0.571517083333333,0.5595425,12
3,7,blank,congRight,1,0.523072916666667,0.5081275,12
3,7,blank,incongLeft,1,0.653559583333333,0.6545125,12
3,7,blank,incongRight,1,0.648956666666667,0.6575875,12
3,7,centre,congLeft,1,0.5272825,0.5174,12
3,7,centre,congRight,0.916666666666667,0.526925909090909,0.539355,11
3,7,centre,incongLeft,1,0.668137727272727,0.648805,11
3,7,centre,incongRight,0.916666666666667,0.674808636363637,0.669805,11
3,7,lower,congLeft,1,0.476445833333333,0.4595775,6
3,7,lower,congRight,1,0.4249725,0.413345,6
3,7,lower,incongLeft,1,0.5150675,0.4802175,6
3,7,lower,incongRight,1,0.552536666666667,0.5260375,6
3,7,upper,congLeft,0.833333333333333,0.455432,0.414685,5
3,7,upper,congRight,1,0.474970833333333,0.45834,6
3,7,upper,incongLeft,1,0.5056,0.51611,5
3,7,upper,incongRight,1,0.54788,0.5351375,6
4,0,blank,congLeft,1,0.569328636363636,0.55977,11
4,0,blank,congRight,1,0.584168181818182,0.55687,11
4,0,blank,incongLeft,1,0.67862375,0.669955,12
4,0,blank,incongRight,1,0.619889090909091,0.601455,11
4,0,centre,congLeft,1,0.59652625,0.597025,12
4,0,centre,congRight,1,0.556311666666667,0.550115,12
4,0,centre,incongLeft,0.8,0.68902125,0.71005,8
4,0,centre,incongRight,0.833333333333333,0.6123025,0.6105625,10
4,0,lower,congLeft,1,0.486793333333333,0.4915575,6
4,0,lower,congRight,1,0.504966666666667,0.5083175,6
4,0,lower,incongLeft,1,0.5983475,0.5791725,6
4,0,lower,incongRight,1,0.604295833333333,0.589345,6
4,0,upper,congLeft,1,0.4906575,0.488135,6
4,0,upper,congRight,1,0.466105,0.4761775,6
4,0,upper,incongLeft,1,0.5559125,0.540905,6
4,0,upper,incongRight,1,0.561505,0.5336725,6
4,4,blank,congLeft,1,0.584504583333333,0.5725425,12
4,4,blank,congRight,1,0.532157083333333,0.53082,12
4,4,blank,incongLeft,1,0.674805833333333,0.67295,12
4,4,blank,incongRight,1,0.6422075,0.6274375,10
4,4,centre,congLeft,1,0.525052272727273,0.49474,11
4,4,centre,congRight,1,0.5361945,0.5217675,10
4,4,centre,incongLeft,0.909090909090909,0.6535775,0.652035,10
4,4,centre,incongRight,1,0.610123333333333,0.608345,12
4,4,lower,congLeft,1,0.4922475,0.4820525,6
4,4,lower,congRight,1,0.4337,0.4298825,6
4,4,lower,incongLeft,1,0.52062,0.51424,6
4,4,lower,incongRight,1,0.588635,0.57612,5
4,4,upper,congLeft,1,0.469394166666667,0.4546675,6
4,4,upper,congRight,1,0.440565,0.4460625,6
4,4,upper,incongLeft,1,0.544710833333333,0.540005,6
4,4,upper,incongRight,1,0.496909166666667,0.4822575,6
4,7,blank,congLeft,1,0.56887625,0.558795,12
4,7,blank,congRight,1,0.57532125,0.5705325,12
4,7,blank,incongLeft,0.916666666666667,0.638690454545455,0.63122,11
4,7,blank,incongRight,1,0.676559166666667,0.6380875,12
4,7,centre,congLeft,1,0.5090725,0.5155575,12
4,7,centre,congRight,1,0.524182916666667,0.5284575,12
4,7,centre,incongLeft,1,0.641023333333333,0.6471225,12
4,7,centre,incongRight,1,0.63917875,0.64474,12
4,7,lower,congLeft,1,0.434250833333333,0.4308125,6
4,7,lower,congRight,1,0.497885,0.4887775,6
4,7,lower,incongLeft,0.833333333333333,0.628346,0.59591,5
4,7,lower,incongRight,1,0.630338333333333,0.616975,6
4,7,upper,congLeft,1,0.4207825,0.4217475,6
4,7,upper,congRight,1,0.444708333333333,0.4073775,6
4,7,upper,incongLeft,1,0.531205833333333,0.500915,6
4,7,upper,incongRight,1,0.578531666666667,0.5935,6
5,0,blank,congLeft,1,0.599653333333333,0.6039,12
5,0,blank,congRight,1,0.5864435,0.5750225,10
5,0,blank,incongLeft,1,0.669867916666667,0.6446,12
5,0,blank,incongRight,1,0.658435454545455,0.667015,11
5,0,centre,congLeft,1,0.5147,0.5149475,12
5,0,centre,congRight,1,0.52414125,0.51195,12
5,0,centre,incongLeft,1,0.679293181818182,0.696205,11
5,0,centre,incongRight,1,0.673866666666667,0.68373,12
5,0,lower,congLeft,1,0.414354166666667,0.4110525,6
5,0,lower,congRight,1,0.473570833333333,0.45407,6
5,0,lower,incongLeft,1,0.5571275,0.5629225,6
5,0,lower,incongRight,1,0.531051666666667,0.5198325,6
5,0,upper,congLeft,1,0.474578333333333,0.47401,6
5,0,upper,congRight,1,0.409799166666667,0.393855,6
5,0,upper,incongLeft,1,0.535242,0.522005,5
5,0,upper,incongRight,1,0.562085,0.5427475,6
5,4,blank,congLeft,1,0.585092083333333,0.5952525,12
5,4,blank,congRight,0.916666666666667,0.564994090909091,0.550945,11
5,4,blank,incongLeft,1,0.672102083333333,0.68472,12
5,4,blank,incongRight,0.916666666666667,0.691076363636364,0.675005,11
5,4,centre,congLeft,1,0.537984583333333,0.5029225,12
5,4,centre,congRight,1,0.565986666666667,0.55073,12
5,4,centre,incongLeft,1,0.681377272727273,0.659815,11
5,4,centre,incongRight,1,0.650524545454545,0.67245,11
5,4,lower,congLeft,1,0.4726325,0.4721775,6
5,4,lower,congRight,1,0.460403333333333,0.4541175,6
5,4,lower,incongLeft,1,0.55276,0.5657025,6
5,4,lower,incongRight,1,0.547719166666667,0.5356125,6
5,4,upper,congLeft,1,0.496217,0.53021,5
5,4,upper,congRight,1,0.430876666666667,0.4410425,6
5,4,upper,incongLeft,1,0.546625,0.56227,6
5,4,upper,incongRight,1,0.531058333333333,0.53642,6
5,7,blank,congLeft,1,0.594679166666667,0.5785975,12
5,7,blank,congRight,1,0.564280833333333,0.5641025,12
5,7,blank,incongLeft,0.916666666666667,0.690723181818182,0.68421,11
5,7,blank,incongRight,1,0.6856265,0.703265,10
5,7,centre,congLeft,1,0.522965833333333,0.50339,12
5,7,centre,congRight,1,0.509105909090909,0.51103,11
5,7,centre,incongLeft,1,0.67067,0.6711825,12
5,7,centre,incongRight,1,0.671692727272727,0.669535,11
5,7,lower,congLeft,1,0.522458333333333,0.49297,6
5,7,lower,congRight,1,0.493909166666667,0.46839,6
5,7,lower,incongLeft,1,0.535876,0.5339,5
5,7,lower,incongRight,1,0.552675,0.55486,5
