ID,version,Load,frequency,HR,FAR,Acc,RT,K,dPrime,criterion,Acc_bsl,K_bsl
S02,ChD_BB_v3,5,0,0.586206896551724,0.105263157894737,0.708333333333333,0.973223935457237,2.68762677484787,1.46991790019262,0.51716057016891,0,0
S02,ChD_BB_v3,6,0,0.473684210526316,0.0344827586206897,0.770833333333333,0.998024741557113,2.72932330827068,1.75263378047422,0.942328702612951,0,0
S02,ChD_BB_v3,7,0,0.333333333333333,0.125,0.604166666666667,1.06055681260794,1.66666666666667,0.719622081080551,0.790538339835733,0,0
S02,ChD_BB_v3,5,4,0.545454545454545,0.0769230769230769,0.75,1.05284450893541,2.53787878787879,1.54026216659428,0.65594578897571,0.0588235294117646,-0.0557175528873645
S02,ChD_BB_v3,6,4,0.409090909090909,0.115384615384615,0.666666666666667,1.06869040014436,1.99209486166008,0.968495584727693,0.714131909943078,-0.135135135135135,-0.270114003854571
S02,ChD_BB_v3,7,4,0.321428571428571,0.1,0.5625,1.20562756774551,1.72222222222222,0.817843814087422,0.87262965850089,-0.0689655172413793,0.0333333333333335
S02,ChD_BB_v3,5,7,0.5,0.0769230769230769,0.729166666666667,1.05451343838811,2.29166666666667,1.42607687227285,0.713038436136424,0.0294117647058822,-0.147327044025157
S02,ChD_BB_v3,6,7,0.5,0.125,0.6875,1.18832515770421,2.57142857142857,1.15034938037601,0.575174690188004,-0.108108108108108,-0.0578512396694215
S02,ChD_BB_v3,7,7,0.653846153846154,0.0454545454545455,0.791666666666667,1.05693956525193,4.46153846153846,2.08634692539939,0.647448166885205,0.310344827586207,1.67692307692308
S03,ChD_BB_v3,5,0,0.739130434782609,0.32,0.708333333333333,0.803594724368195,3.08184143222506,1.10836568903361,-0.0864840454022983,0,0
S03,ChD_BB_v3,6,0,0.88,0.173913043478261,0.854166666666667,0.790077366997944,5.12842105263158,2.11380110894299,-0.118086237594593,0,0
S03,ChD_BB_v3,7,0,0.708333333333333,0.0833333333333333,0.8125,0.810458387619646,4.77272727272727,1.93151640979874,0.41723592220127,0,0
S03,ChD_BB_v3,5,4,0.666666666666667,0.166666666666667,0.75,0.961516280881741,3,1.39814886539716,0.268347133403122,0.0588235294117646,-0.0265560165975103
S03,ChD_BB_v3,6,4,0.652173913043478,0.2,0.729166666666667,0.995232222751038,3.39130434782609,1.23281749176239,0.225212487691721,-0.146341463414634,-0.33872349539516
S03,ChD_BB_v3,7,4,0.6,0.173913043478261,0.708333333333333,1.00624716451117,3.61052631578947,1.1921614200127,0.342733606870552,-0.128205128205128,-0.243508771929825
S03,ChD_BB_v3,5,7,0.782608695652174,0.2,0.791666666666667,0.750537042033701,3.64130434782609,1.62265504509562,0.0302937110251028,0.117647058823529,0.181535269709544
