version,block,frequency,jitter,trial,change,response,RT,loads,ID,gender,hand,age,resp_type
ChD_v5_MB,2,7,false,28,1,Correct,1.43068447926351,6,S01,F,R,23,1
ChD_v5_MB,2,7,false,29,0,Correct,0.940468643920058,7,S01,F,R,23,4
ChD_v5_MB,2,7,false,30,1,Correct,0.820418795591186,6,S01,F,R,23,1
ChD_v5_MB,2,7,false,31,0,Correct,0.690353870566882,5,S01,F,R,23,4
ChD_v5_MB,2,7,false,32,1,Correct,1.16056412852287,6,S01,F,R,23,1
ChD_v5_MB,2,7,false,33,0,Correct,0.90045339314388,7,S01,F,R,23,4
ChD_v5_MB,2,7,false,34,0,Correct,0.640330711096321,6,S01,F,R,23,4
ChD_v5_MB,2,7,false,35,1,Correct,0.590308234292484,7,S01,F,R,23,1
ChD_v5_MB,2,7,false,36,1,Correct,1.12071025653026,7,S01,F,R,23,1
ChD_v5_MB,2,7,false,37,0,Correct,0.760385679426072,5,S01,F,R,23,4
ChD_v5_MB,2,7,false,38,0,Correct,0.73037116934323,5,S01,F,R,23,4
ChD_v5_MB,2,7,false,39,0,Correct,1.63077745847957,5,S01,F,R,23,4
ChD_v5_MB,2,7,false,40,1,Correct,0.720365991315739,7,S01,F,R,23,1
ChD_v5_MB,2,7,false,41,0,Correct,1.24059975007565,5,S01,F,R,23,4
ChD_v5_MB,2,7,false,42,0,Correct,0.650335547790451,6,S01,F,R,23,4
ChD_v5_MB,3,4,true,1,0,Correct,0.850425455005802,6,S01,F,R,23,4
ChD_v5_MB,3,4,true,2,1,Correct,0.670343855845263,6,S01,F,R,23,1
ChD_v5_MB,3,4,true,3,0,Wrong,1.20058210996594,6,S01,F,R,23,3
ChD_v5_MB,3,4,true,4,1,Wrong,1.43068482059688,6,S01,F,R,23,2
ChD_v5_MB,3,4,true,5,0,Correct,0.690353870567337,5,S01,F,R,23,4
ChD_v5_MB,3,4,true,6,1,Correct,0.690354211900244,6,S01,F,R,23,1
ChD_v5_MB,3,4,true,7,0,Wrong,0.800480511585283,7,S01,F,R,23,3
ChD_v5_MB,3,4,true,8,0,Correct,0.960475245308062,7,S01,F,R,23,4
ChD_v5_MB,3,4,true,9,1,Correct,0.680350399206654,6,S01,F,R,23,1
ChD_v5_MB,3,4,true,10,1,Correct,0.820411968923499,6,S01,F,R,23,1
ChD_v5_MB,3,4,true,11,0,Wrong,0.610316883680657,7,S01,F,R,23,3
ChD_v5_MB,3,4,true,12,0,Correct,1.1205461470798,5,S01,F,R,23,4
ChD_v5_MB,3,4,true,13,1,Wrong,1.6607902618947,5,S01,F,R,23,2
ChD_v5_MB,3,4,true,14,1,Wrong,1.10053749769163,5,S01,F,R,23,2
ChD_v5_MB,3,4,true,15,0,Correct,0.84041993564495,5,S01,F,R,23,4
ChD_v5_MB,3,4,true,16,0,Correct,1.29062359221294,7,S01,F,R,23,4
ChD_v5_MB,3,4,true,17,0,Correct,1.14055616180142,6,S01,F,R,23,4
ChD_v5_MB,3,4,true,18,0,Correct,0.91046164317208,5,S01,F,R,23,4
ChD_v5_MB,3,4,true,19,1,Wrong,1.44069921462649,6,S01,F,R,23,2
ChD_v5_MB,3,4,true,20,1,Wrong,0.660350965820153,6,S01,F,R,23,2
ChD_v5_MB,3,4,true,21,1,Correct,0.57029856090468,7,S01,F,R,23,1
ChD_v5_MB,3,4,true,22,0,Correct,0.780395011480969,5,S01,F,R,23,4
ChD_v5_MB,3,4,true,23,0,Correct,1.42068134923619,6,S01,F,R,23,4
ChD_v5_MB,3,4,true,24,0,Correct,1.25060629343704,5,S01,F,R,23,4
ChD_v5_MB,3,4,true,25,1,Wrong,1.02050153480549,5,S01,F,R,23,2
ChD_v5_MB,3,4,true,26,0,Wrong,1.21058831199397,5,S01,F,R,23,3
ChD_v5_MB,3,4,true,27,1,Wrong,1.11054540638647,6,S01,F,R,23,2
ChD_v5_MB,3,4,true,28,1,Correct,1.54073563489922,7,S01,F,R,23,1
ChD_v5_MB,3,4,true,29,0,Correct,1.11054165171904,6,S01,F,R,23,4
ChD_v5_MB,3,4,true,30,0,Correct,1.26060874079719,7,S01,F,R,23,4
ChD_v5_MB,3,4,true,31,1,Wrong,1.42068612790371,5,S01,F,R,23,2
ChD_v5_MB,3,4,true,32,0,Correct,0.750395861401216,7,S01,F,R,23,4
ChD_v5_MB,3,4,true,33,0,Correct,0.860432339700556,7,S01,F,R,23,4
ChD_v5_MB,3,4,true,34,1,Wrong,1.39066752182098,7,S01,F,R,23,2
ChD_v5_MB,3,4,true,35,1,Wrong,0.620323427042049,7,S01,F,R,23,2
ChD_v5_MB,3,4,true,36,1,Correct,0.5903085756263,5,S01,F,R,23,1
ChD_v5_MB,3,4,true,37,1,Correct,0.690356259900868,7,S01,F,R,23,1
ChD_v5_MB,3,4,true,38,0,Correct,0.810410545563441,6,S01,F,R,23,4
ChD_v5_MB,3,4,true,39,1,Wrong,1.09053300233086,7,S01,F,R,23,2
ChD_v5_MB,3,4,true,40,0,Correct,0.740375323370636,5,S01,F,R,23,4
ChD_v5_MB,3,4,true,41,1,Correct,0.640330028429598,7,S01,F,R,23,1
ChD_v5_MB,3,4,true,42,1,Correct,0.800408439536659,5,S01,F,R,23,1
ChD_v5_MB,4,7,false,1,1,Correct,0.580304762931801,6,S01,F,R,23,1
ChD_v5_MB,4,7,false,2,0,Wrong,0.960477634641593,6,S01,F,R,23,3
ChD_v5_MB,4,7,false,3,0,Wrong,0.670346245179248,7,S01,F,R,23,3
ChD_v5_MB,4,7,false,4,0,Correct,0.680348692539392,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,5,0,Correct,1.31063121760103,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,6,1,Correct,0.88043791708802,5,S01,F,R,23,1
ChD_v5_MB,4,7,false,7,1,Wrong,1.62077091511818,5,S01,F,R,23,2
ChD_v5_MB,4,7,false,8,0,Correct,0.780393304813706,5,S01,F,R,23,4
ChD_v5_MB,4,7,false,9,0,Correct,0.560294748210636,5,S01,F,R,23,4
ChD_v5_MB,4,7,false,10,1,Correct,0.63032655706937,7,S01,F,R,23,1
ChD_v5_MB,4,7,false,11,0,Correct,0.670344197179079,7,S01,F,R,23,4
ChD_v5_MB,4,7,false,12,1,Correct,0.940465913253165,7,S01,F,R,23,1
ChD_v5_MB,4,7,false,13,1,Correct,0.850424772339534,5,S01,F,R,23,1
ChD_v5_MB,4,7,false,14,0,Correct,1.50071697078897,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,15,1,Wrong,0.730372193343769,7,S01,F,R,23,2
ChD_v5_MB,4,7,false,16,1,Wrong,0.880439623754828,5,S01,F,R,23,2
ChD_v5_MB,4,7,false,17,1,Wrong,0.720366673982462,6,S01,F,R,23,2
ChD_v5_MB,4,7,false,18,0,Correct,0.810423174898729,5,S01,F,R,23,4
ChD_v5_MB,4,7,false,19,0,Wrong,1.13055815177544,7,S01,F,R,23,3
ChD_v5_MB,4,7,false,20,0,Wrong,0.630325874402192,5,S01,F,R,23,3
ChD_v5_MB,4,7,false,21,0,Correct,0.820419136925002,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,22,1,Correct,0.940467278586157,7,S01,F,R,23,1
ChD_v5_MB,4,7,false,23,1,Correct,0.650402790469047,5,S01,F,R,23,1
ChD_v5_MB,4,7,false,24,0,Correct,0.770390516120201,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,25,0,Correct,0.840420276978766,5,S01,F,R,23,4
ChD_v5_MB,4,7,false,26,1,Correct,0.760389775426865,7,S01,F,R,23,1
ChD_v5_MB,4,7,false,27,0,Correct,0.630329287736263,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,28,0,Wrong,0.900449979809809,5,S01,F,R,23,3
ChD_v5_MB,4,7,false,29,0,Correct,0.680353471207363,7,S01,F,R,23,4
ChD_v5_MB,4,7,false,30,1,Wrong,1.42068066656947,7,S01,F,R,23,2
ChD_v5_MB,4,7,false,31,0,Wrong,1.7008191660067,7,S01,F,R,23,3
ChD_v5_MB,4,7,false,32,1,Correct,1.05051604488833,5,S01,F,R,23,1
ChD_v5_MB,4,7,false,33,0,Correct,0.740376688704537,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,34,1,Wrong,0.820413675590762,7,S01,F,R,23,2
ChD_v5_MB,4,7,false,35,0,Correct,0.930460052558497,6,S01,F,R,23,4
ChD_v5_MB,4,7,false,36,0,Correct,1.19058000393916,5,S01,F,R,23,4
ChD_v5_MB,4,7,false,37,1,Correct,0.790399848175098,7,S01,F,R,23,1
ChD_v5_MB,4,7,false,38,1,Correct,0.820417771591556,5,S01,F,R,23,1
ChD_v5_MB,4,7,false,39,1,Wrong,1.50071765345569,7,S01,F,R,23,2
ChD_v5_MB,4,7,false,40,1,Correct,0.810407473562732,6,S01,F,R,23,1
ChD_v5_MB,4,7,false,41,1,Wrong,1.5707470729809,6,S01,F,R,23,2
ChD_v5_MB,4,7,false,42,1,Correct,0.570299926238126,6,S01,F,R,23,1
ChD_v5_MB,5,0,true,1,0,Correct,0.770395294787263,5,S01,F,R,23,4
ChD_v5_MB,5,0,true,2,1,Correct,0.860430291700386,7,S01,F,R,23,1
ChD_v5_MB,5,0,true,3,0,Correct,0.85042613767298,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,4,0,Correct,0.920458287864621,6,S01,F,R,23,4
ChD_v5_MB,5,0,true,5,1,Correct,0.610319955681366,7,S01,F,R,23,1
ChD_v5_MB,5,0,true,6,1,Correct,1.05051467955443,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,7,0,Correct,0.900448273143002,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,8,0,Correct,0.650334523790366,6,S01,F,R,23,4
ChD_v5_MB,5,0,true,9,0,Correct,1.29063280821461,6,S01,F,R,23,4
ChD_v5_MB,5,0,true,10,0,Correct,0.72036735664964,6,S01,F,R,23,4
ChD_v5_MB,5,0,true,11,1,Correct,1.01049601544464,6,S01,F,R,23,1
ChD_v5_MB,5,0,true,12,1,Correct,0.610315859680572,6,S01,F,R,23,1
ChD_v5_MB,5,0,true,13,0,Correct,0.710362861288872,6,S01,F,R,23,4
ChD_v5_MB,5,0,true,14,0,Correct,1.04051154952711,6,S01,F,R,23,4
ChD_v5_MB,5,0,true,15,0,Correct,0.910453451170947,5,S01,F,R,23,4
ChD_v5_MB,5,0,true,16,0,Correct,1.54073597623213,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,17,0,Correct,0.840420959645035,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,18,1,Correct,0.670346245179248,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,19,0,Correct,1.11054267571912,6,S01,F,R,23,4
ChD_v5_MB,5,0,true,20,1,Correct,0.890443095115511,7,S01,F,R,23,1
ChD_v5_MB,5,0,true,21,1,Wrong,0.810406790896009,6,S01,F,R,23,2
ChD_v5_MB,5,0,true,22,1,Correct,0.780396718147776,7,S01,F,R,23,1
ChD_v5_MB,5,0,true,23,1,Correct,1.3906709351546,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,24,1,Wrong,0.69035455323406,5,S01,F,R,23,2
ChD_v5_MB,5,0,true,25,0,Correct,0.850425455006257,5,S01,F,R,23,4
ChD_v5_MB,5,0,true,26,0,Correct,0.900446225142832,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,27,1,Correct,0.770389833453478,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,28,1,Wrong,0.820431424926928,6,S01,F,R,23,2
ChD_v5_MB,5,0,true,29,1,Correct,0.620324451042134,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,30,0,Correct,0.690352505233436,5,S01,F,R,23,4
ChD_v5_MB,5,0,true,31,1,Wrong,1.30063013557433,5,S01,F,R,23,2
ChD_v5_MB,5,0,true,32,1,Wrong,0.700357000594204,6,S01,F,R,23,2
ChD_v5_MB,5,0,true,33,0,Correct,0.680357225874341,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,34,1,Correct,0.600313753653336,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,35,1,Correct,0.890445825782858,7,S01,F,R,23,1
ChD_v5_MB,5,0,true,36,0,Correct,0.860434046367363,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,37,0,Correct,1.58075293367557,7,S01,F,R,23,4
ChD_v5_MB,5,0,true,38,1,Correct,0.720367015315824,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,39,1,Correct,1.40067304118138,7,S01,F,R,23,1
ChD_v5_MB,5,0,true,40,0,Wrong,1.22059041802121,6,S01,F,R,23,3
ChD_v5_MB,5,0,true,41,1,Correct,1.35064988171082,5,S01,F,R,23,1
ChD_v5_MB,5,0,true,42,0,Correct,1.01049669811136,6,S01,F,R,23,4
ChD_v5_MB,6,0,true,1,0,Correct,1.41068777654436,6,S01,F,R,23,4
ChD_v5_MB,6,0,true,2,1,Correct,0.76038533809271,7,S01,F,R,23,1
ChD_v5_MB,6,0,true,3,1,Correct,1.5507493462612,7,S01,F,R,23,1
ChD_v5_MB,6,0,true,4,1,Correct,0.900457830478035,6,S01,F,R,23,1
ChD_v5_MB,6,0,true,5,1,Wrong,1.47070553270729,7,S01,F,R,23,2
ChD_v5_MB,6,0,true,6,1,Correct,0.610327465015776,5,S01,F,R,23,1
ChD_v5_MB,6,0,true,7,1,Correct,1.61076983309149,5,S01,F,R,23,1
ChD_v5_MB,6,0,true,8,1,Correct,1.90089780921976,6,S01,F,R,23,1
ChD_v5_MB,6,0,true,9,0,Wrong,1.38066609846047,7,S01,F,R,23,3
ChD_v5_MB,6,0,true,10,0,Correct,1.240602480743,6,S01,F,R,23,4
ChD_v5_MB,6,0,true,11,1,Correct,1.28061909685262,6,S01,F,R,23,1
ChD_v5_MB,6,0,true,12,0,Correct,2.22104200209814,7,S01,F,R,23,4
ChD_v5_MB,6,0,true,13,0,Correct,0.650337595791075,6,S01,F,R,23,4
ChD_v5_MB,6,0,true,14,1,Correct,0.650335206457544,5,S01,F,R,23,1
ChD_v5_MB,6,0,true,15,1,Correct,0.660340384485035,5,S01,F,R,23,1
ChD_v5_MB,6,0,true,16,0,Wrong,1.3506491990441,7,S01,F,R,23,3
ChD_v5_MB,6,0,true,17,1,Correct,0.790402237508629,5,S01,F,R,23,1
ChD_v5_MB,6,0,true,18,0,Correct,1.60076397239682,5,S01,F,R,23,4
ChD_v5_MB,6,0,true,19,1,Correct,0.650335547790905,5,S01,F,R,23,1
ChD_v5_MB,6,0,true,20,1,Correct,0.630327922402817,6,S01,F,R,23,1
ChD_v5_MB,6,0,true,21,1,Correct,1.45069858998593,7,S01,F,R,23,1
ChD_v5_MB,6,0,true,22,0,Correct,0.580303056264993,7,S01,F,R,23,4
ChD_v5_MB,6,0,true,23,1,Wrong,1.78084454755773,6,S01,F,R,23,2
ChD_v5_MB,6,0,true,24,1,Correct,1.02050153480549,6,S01,F,R,23,1
ChD_v5_MB,6,0,true,25,0,Correct,0.900449638476903,7,S01,F,R,23,4
