ID,load,frequency,HR,FAR,Acc,Acc_bsl,K,K_bsl,K_bsl_ave,RT,RT_bsl,RT_CoV,gender,age,country,response_key,dPrime,criterion
1,5,0,0.733333333333333,0.0666666666666667,0.833333333333333,0,3.57142857142857,0,-0.152223059532781,0.6094085,0,0.199161434434521,Male,25,Hungary,j,2.12401166925411,0.439080111416969
1,6,0,0.733333333333333,0,0.866666666666667,0,4.4,0,0.0444611906556142,0.6494,0,0.224429235382257,Male,25,Hungary,j,Inf,Inf
1,7,0,0.666666666666667,0,0.833333333333333,0,4.66666666666667,0,0.107761868877167,0.690668833333333,0,0.222821063947327,Male,25,Hungary,j,Inf,Inf
1,5,4,0.733333333333333,0,0.866666666666667,0.04,3.66666666666667,0.0266666666666667,-0.129615674453655,0.651401333333333,0.0689075280921311,0.315730881099381,Male,25,Hungary,j,Inf,Inf
1,6,4,0.933333333333333,0.0666666666666667,0.933333333333333,0.0769230769230769,5.57142857142857,0.266233766233766,0.322532027128862,0.6633155,0.0214282414536491,0.241074196227045,Male,25,Hungary,j,3.00217189208805,-0
1,7,4,0.933333333333333,0.0666666666666667,0.933333333333333,0.12,6.5,0.392857142857143,0.542954031650339,0.728318166666667,0.0545114120057057,0.2430097656841,Male,25,Hungary,j,3.00217189208805,-0
1,5,7,0.933333333333333,0,0.966666666666667,0.16,4.66666666666667,0.306666666666667,0.107761868877167,0.615145333333333,0.00941377308214965,0.183539111538896,Male,25,Hungary,j,Inf,Inf
1,6,7,0.8,0,0.9,0.0384615384615384,4.8,0.0909090909090912,0.139412207987943,0.6428935,-0.0100192485371115,0.180016272482899,Male,25,Hungary,j,Inf,Inf
1,7,7,0.733333333333333,0,0.866666666666667,0.04,5.13333333333333,0.1,0.218538055764883,0.674862,-0.0228862699031107,0.232887234430467,Male,25,Hungary,j,Inf,Inf
2,5,0,0.866666666666667,0,0.933333333333333,0,4.33333333333333,0,0.127167630057803,0.560236666666667,0,0.241528257550465,Male,26,Poland,f,Inf,Inf
2,6,0,0.533333333333333,0.0666666666666667,0.733333333333333,0,3,1.48029736616688e-16,-0.219653179190752,0.588115666666667,0,0.337675068787794,Male,26,Poland,f,1.58473767995115,0.708717106068448
2,7,0,0.6,0,0.8,0,4.2,0,0.0924855491329479,0.624783833333333,0,0.444835304225241,Male,26,Poland,f,Inf,Inf
2,5,4,0.666666666666667,0,0.833333333333333,-0.107142857142857,3.33333333333333,-0.230769230769231,-0.132947976878613,0.525341,-0.0622873666486183,0.209693391339064,Male,26,Poland,f,Inf,Inf
2,6,4,0.866666666666667,0,0.933333333333333,0.272727272727273,5.2,0.733333333333334,0.352601156069364,0.634398333333333,0.0786965375858604,0.299132748151889,Male,26,Poland,f,Inf,Inf
2,7,4,0.466666666666667,0,0.733333333333333,-0.0833333333333335,3.26666666666667,-0.222222222222222,-0.150289017341041,0.606496833333333,-0.0292693232832798,0.336833742528967,Male,26,Poland,f,Inf,Inf
2,5,7,0.733333333333333,0.0666666666666667,0.833333333333333,-0.107142857142857,3.57142857142857,-0.175824175824176,-0.0710156895127995,0.6345245,0.132600805611914,0.373641739847398,Male,26,Poland,f,2.12401166925411,0.439080111416969
2,6,7,0.8,0.2,0.8,0.0909090909090911,4.5,0.500000000000001,0.170520231213873,0.687123333333333,0.168347269556386,0.34731131624515,Male,26,Poland,f,1.68324246714583,-5.55111512312578e-17
2,7,7,0.4,0,0.7,-0.125,2.8,-0.333333333333333,-0.271676300578035,0.582689333333333,-0.067374502594631,0.195297496484167,Male,26,Poland,f,Inf,Inf
3,5,0,0.8,0,0.9,0,4,0,-0.170506912442396,0.730865,0,0.384562007401607,Male,23,United Kingdom,f,Inf,Inf
3,6,0,0.733333333333333,0,0.866666666666667,0,4.4,0,-0.087557603686636,0.7205985,0,0.309446331747982,Male,23,United Kingdom,f,Inf,Inf
3,7,0,0.866666666666667,0,0.933333333333333,0,6.06666666666667,0,0.258064516129032,0.684401666666666,0,0.224744959041796,Male,23,United Kingdom,f,Inf,Inf
3,5,4,0.8,0,0.9,0,4,0,-0.170506912442396,0.653694666666667,-0.105587671229753,0.238225062041728,Male,23,United Kingdom,f,Inf,Inf
3,6,4,0.933333333333333,0,0.966666666666667,0.115384615384615,5.6,0.272727272727273,0.161290322580645,0.710407666666667,-0.014142179498477,0.318264431875922,Male,23,United Kingdom,f,Inf,Inf
3,7,4,0.8,0.0666666666666667,0.866666666666667,-0.0714285714285714,5.5,-0.0934065934065932,0.140552995391705,0.757917333333334,0.107415966744675,0.332650367195255,Male,23,United Kingdom,f,2.34270717961694,0.329732356235555
3,5,7,1,0,1,0.111111111111111,5,0.25,0.0368663594470047,0.687222833333333,-0.0597130340988647,0.275323557485228,Male,23,United Kingdom,f,Inf,NaN
3,6,7,0.866666666666667,0.133333333333333,0.866666666666667,0,5.07692307692308,0.153846153846154,0.0528181495923431,0.768210166666667,0.0660723921388496,0.323083658738936,Male,23,United Kingdom,f,2.22154323327357,-1.11022302462516e-16
3,7,7,0.8,0,0.9,-0.0357142857142857,5.6,-0.0769230769230768,0.161290322580645,0.650048833333333,-0.050193965044893,0.277411111664601,Male,23,United Kingdom,f,Inf,Inf
4,5,0,0.8,0,0.9,0,4,0,0.0344827586206896,0.611845,0,0.258795715230565,Male,21,Portugal,f,Inf,Inf
4,6,0,0.6,0,0.8,0,3.6,0,-0.0689655172413794,0.601202,0,0.229948972027957,Male,21,Portugal,f,Inf,Inf
4,7,0,0.6,0.0666666666666667,0.766666666666667,0,4,0,0.0344827586206896,0.627009166666667,0,0.281571553184973,Male,21,Portugal,f,1.75443304917982,0.623869421454113
4,5,4,0.933333333333333,0,0.966666666666667,0.0740740740740741,4.66666666666667,0.166666666666667,0.206896551724138,0.606067833333333,-0.00944220622325398,0.289266099394488,Male,21,Portugal,f,Inf,Inf
4,6,4,0.466666666666667,0.133333333333333,0.666666666666667,-0.166666666666667,2.30769230769231,-0.358974358974359,-0.403183023872679,0.568637666666667,-0.0541653775824653,0.291762336253813,Male,21,Portugal,f,1.02711988272966,0.597211675271957
4,7,4,0.533333333333333,0.133333333333333,0.7,-0.0869565217391306,3.23076923076923,-0.192307692307692,-0.164456233421751,0.6192,-0.0124546291853791,0.307093894750644,Male,21,Portugal,f,1.19442335054391,0.513559941364828
4,5,7,0.666666666666667,0,0.833333333333333,-0.0740740740740741,3.33333333333333,-0.166666666666667,-0.137931034482759,0.661625166666667,0.0813607476839177,0.30159246789672,Male,21,Portugal,f,Inf,Inf
4,6,7,0.866666666666667,0,0.933333333333333,0.166666666666667,5.2,0.444444444444445,0.344827586206897,0.681353666666667,0.133319028657035,0.212429541783462,Male,21,Portugal,f,Inf,Inf
4,7,7,0.8,0.133333333333333,0.833333333333333,0.0869565217391304,5.38461538461539,0.346153846153846,0.392572944297082,0.798333166666667,0.273240024401557,0.313750219485002,Male,21,Portugal,f,1.9523928502097,0.134575191531936
5,5,0,0.533333333333333,0,0.766666666666667,0,2.66666666666667,0,0.282442748091603,0.708802,0,0.202268204190255,Female,33,Poland,j,Inf,Inf
5,6,0,0.466666666666667,0.0666666666666667,0.7,0,2.57142857142857,0,0.236641221374046,0.635989833333333,0,0.247726614415036,Female,33,Poland,j,1.4174342121369,0.792368839975577
5,7,0,0.2,0.0666666666666667,0.566666666666667,0,1,0,-0.519083969465649,0.662703166666667,0,0.209144449609424,Female,33,Poland,j,0.659464712471111,1.17135358980847
5,5,4,0.6,0,0.8,0.0434782608695652,3,0.125,0.442748091603053,0.596275333333333,-0.158756135940173,0.192349839142301,Female,33,Poland,j,Inf,Inf
5,6,4,0.333333333333333,0.133333333333333,0.6,-0.142857142857143,1.38461538461538,-0.461538461538462,-0.334116265413975,0.7193595,0.131086477011294,0.411506396984744,Female,33,Poland,j,0.680044317341328,0.770749457966122
5,7,4,0.466666666666667,0.133333333333333,0.666666666666667,0.176470588235294,2.69230769230769,1.69230769230769,0.294773928361715,0.715036166666667,0.078968990390117,0.349840938022623,Female,33,Poland,j,1.02711988272966,0.597211675271957
5,5,7,0.466666666666667,0,0.733333333333333,-0.0434782608695653,2.33333333333333,-0.125,0.122137404580153,0.667901,-0.0577044082832726,0.217122085843644,Female,33,Poland,j,Inf,Inf
5,6,7,0.533333333333333,0,0.766666666666667,0.0952380952380954,3.2,0.244444444444444,0.538931297709924,0.655428833333333,0.0305649539995267,0.273019956571862,Female,33,Poland,j,Inf,Inf
5,7,7,0.533333333333333,0,0.766666666666667,0.352941176470588,3.73333333333333,2.73333333333333,0.795419847328244,0.651747666666667,-0.0165315341031263,0.294344628188802,Female,33,Poland,j,Inf,Inf
6,5,0,0.666666666666667,0.2,0.733333333333333,0,2.91666666666667,0,-0.235171696149844,0.748433333333334,0,0.305729978767096,Male,23,United Kingdom,f,1.27234853286837,0.205446967138728
6,6,0,0.666666666666667,0.0666666666666667,0.8,0,3.85714285714286,0,0.0114464099895941,0.8727,0,0.301767402743739,Male,23,United Kingdom,f,1.93181324533948,0.535179323374284
6,7,0,0.733333333333333,0.2,0.766666666666667,0,4.66666666666667,1.90323947078598e-16,0.22372528616025,0.876533333333333,0,0.381226094224162,Male,23,United Kingdom,f,1.464546956783,0.109347755181413
6,5,4,0.8,0.0666666666666667,0.866666666666667,0.181818181818182,3.92857142857143,0.346938775510204,0.0301768990634757,0.8667,0.15801897296575,0.313884126636841,Male,23,United Kingdom,f,2.34270717961694,0.329732356235555
6,6,4,0.6,0.333333333333333,0.633333333333333,-0.208333333333333,2.4,-0.377777777777778,-0.370655567117586,0.9512,0.0899507276269049,0.364189727524984,Male,23,United Kingdom,f,0.684074402431257,0.0886900980798289
6,7,4,0.733333333333333,0.0666666666666667,0.833333333333333,0.0869565217391304,5,0.0714285714285716,0.311134235171696,0.766466666666667,-0.12557042896258,0.253522823078681,Male,23,United Kingdom,f,2.12401166925411,0.439080111416969
6,5,7,0.866666666666667,0,0.933333333333333,0.272727272727273,4.33333333333333,0.485714285714286,0.136316337148804,0.7967,0.0644902685609941,0.380349189854567,Male,23,United Kingdom,f,Inf,Inf
6,6,7,0.733333333333333,0.133333333333333,0.8,0,4.15384615384615,0.0769230769230769,0.0892499799887937,0.785366666666667,-0.100072571712311,0.28816952363059,Male,23,United Kingdom,f,1.73369733984687,0.243922946713349
6,7,7,0.533333333333333,0.266666666666667,0.633333333333333,-0.173913043478261,2.54545454545454,-0.454545454545454,-0.332513480276228,0.939666666666667,0.0720261636750837,0.273232785304917,Male,23,United Kingdom,f,0.706577457117217,0.269636994651479
7,5,0,0.466666666666667,0.0666666666666667,0.7,0,2.14285714285714,2.07241631263363e-16,0.148635381896721,0.774781166666667,0,0.283802781123617,Male,25,Portugal,f,1.4174342121369,0.792368839975577
7,6,0,0.733333333333333,0.133333333333333,0.8,0,4.15384615384615,0,1.22658550952287,0.847425833333333,0,0.263735539957852,Male,25,Portugal,f,1.73369733984687,0.243922946713349
7,7,0,0.266666666666667,0.333333333333333,0.466666666666667,0,-0.7,-0,-1.3752208914196,0.873966,0,0.373091457589231,Male,25,Portugal,f,-0.19219842391463,0.526826511252773
7,5,4,0.533333333333333,0,0.766666666666667,0.0952380952380954,2.66666666666667,0.244444444444444,0.429412919693697,0.777616333333333,0.00365931283392472,0.37972696262172,Male,25,Portugal,f,Inf,Inf
7,6,4,0.533333333333333,0.266666666666667,0.633333333333333,-0.208333333333333,2.18181818181818,-0.474747474747475,0.169519661567571,0.761820172413793,-0.101018469761315,0.296559592477209,Male,25,Portugal,f,0.706577457117217,0.269636994651479
7,7,4,0.466666666666667,0.133333333333333,0.666666666666667,0.428571428571428,2.69230769230769,-4.84615384615385,0.443157274690752,0.849229666666667,-0.0283035419379396,0.291495081071739,Male,25,Portugal,f,1.02711988272966,0.597211675271957
7,5,7,0.666666666666667,0.2,0.733333333333333,0.0476190476190476,2.91666666666667,0.361111111111111,0.563420380914981,0.882232833333333,0.138686472115675,0.296817172832301,Male,25,Portugal,f,1.27234853286837,0.205446967138728
7,6,7,0.6,0.133333333333333,0.733333333333333,-0.0833333333333335,3.23076923076923,-0.222222222222222,0.731788729628903,0.789305166666667,-0.0685849597457398,0.333884398313971,Male,25,Portugal,f,1.36411871977259,0.428712256750493
7,7,7,0.6,0.0666666666666667,0.766666666666667,0.642857142857143,4,-6.71428571428572,1.14411937954055,0.916867,0.0490877219479934,0.364134308984281,Male,25,Portugal,f,1.75443304917982,0.623869421454113
8,5,0,1,0.0666666666666667,0.966666666666667,0,5,0,0.0165876777251184,0.655875,0,0.176743143543987,Male,27,Greece,j,Inf,-Inf
8,6,0,0.866666666666667,0.266666666666667,0.8,0,4.90909090909091,0,-0.00189573459715642,0.731147,0,0.240795324179662,Male,27,Greece,j,1.73369733984687,-0.243922946713349
8,7,0,0.733333333333333,0.133333333333333,0.8,0,4.84615384615385,0,-0.0146919431279622,0.716141333333333,0,0.185421813267769,Male,27,Greece,j,1.73369733984687,0.243922946713349
8,5,4,0.933333333333333,0.2,0.866666666666667,-0.103448275862069,4.58333333333333,-0.0833333333333332,-0.068127962085308,0.7549325,0.151031065370689,0.223587308707852,Male,27,Greece,j,2.34270717961694,-0.329732356235555
8,6,4,0.866666666666667,0.2,0.833333333333333,0.0416666666666667,5,0.0185185185185185,0.0165876777251184,0.772243166666667,0.0562078031731875,0.259160738555046,Male,27,Greece,j,1.9523928502097,-0.134575191531936
8,7,4,0.866666666666667,0.133333333333333,0.866666666666667,0.0833333333333333,5.92307692307692,0.222222222222222,0.204265402843602,0.769897,0.075062929849974,0.238015313589977,Male,27,Greece,j,2.22154323327357,-1.11022302462516e-16
8,5,7,0.866666666666667,0.333333333333333,0.766666666666667,-0.206896551724138,4,-0.2,-0.186729857819905,0.666784,0.0166327425195349,0.233771128544905,Male,27,Greece,j,1.54149891593224,-0.340022158670664
8,6,7,1,0.266666666666667,0.866666666666667,0.0833333333333333,6,0.222222222222222,0.219905213270142,0.7170485,-0.0192827160612023,0.254951222913848,Male,27,Greece,j,Inf,-Inf
8,7,7,0.933333333333333,0.2,0.866666666666667,0.0833333333333333,6.41666666666667,0.324074074074074,0.304620853080569,0.6701695,-0.0641937997341305,0.181061221875734,Male,27,Greece,j,2.34270717961694,-0.329732356235555
