version,block,frequency,trial,change,response,RT,loads,ID,gender,hand,age,resp_type
ChD_entr_4_BB,1,0,1,0,Correct,1.08969900197215,5,S01,M,R,27,4
ChD_entr_4_BB,1,0,2,1,Wrong,0.770322904799796,6,S01,M,R,27,2
ChD_entr_4_BB,1,0,3,1,Wrong,0.90182671390965,5,S01,M,R,27,2
ChD_entr_4_BB,1,0,4,1,Wrong,0.629426795420259,6,S01,M,R,27,2
ChD_entr_4_BB,1,0,5,1,Wrong,0.836080612021869,5,S01,M,R,27,2
ChD_entr_4_BB,1,0,6,1,Wrong,0.685771039703322,5,S01,M,R,27,2
ChD_entr_4_BB,1,0,7,0,Correct,0.901836271244683,5,S01,M,R,27,4
ChD_entr_4_BB,1,0,8,1,Wrong,0.807892105877618,4,S01,M,R,27,2
ChD_entr_4_BB,1,0,9,0,Correct,0.789127985341765,6,S01,M,R,27,4
ChD_entr_4_BB,1,0,10,1,Correct,0.582467683406285,5,S01,M,R,27,1
ChD_entr_4_BB,1,0,11,0,Correct,0.845471888291468,5,S01,M,R,27,4
ChD_entr_4_BB,1,0,12,1,Wrong,0.695176651975016,6,S01,M,R,27,2
ChD_entr_4_BB,1,0,13,1,Correct,0.826670562416475,5,S01,M,R,27,1
ChD_entr_4_BB,1,0,14,1,Correct,0.751538986927153,4,S01,M,R,27,1
ChD_entr_4_BB,1,0,15,1,Correct,0.526091012452052,6,S01,M,R,27,1
ChD_entr_4_BB,1,0,16,1,Correct,0.770325294133327,6,S01,M,R,27,1
ChD_entr_4_BB,1,0,17,0,Correct,0.563672160198439,4,S01,M,R,27,4
ChD_entr_4_BB,1,0,18,0,Wrong,0.817284406147301,4,S01,M,R,27,3
ChD_entr_4_BB,1,0,19,0,Wrong,0.742136787989075,6,S01,M,R,27,3
ChD_entr_4_BB,1,0,20,1,Correct,0.760944940532208,4,S01,M,R,27,1
ChD_entr_4_BB,1,0,21,0,Wrong,0.713962276514467,6,S01,M,R,27,3
ChD_entr_4_BB,1,0,22,1,Correct,0.798502877609099,6,S01,M,R,27,1
ChD_entr_4_BB,1,0,23,0,Correct,0.742139177322606,4,S01,M,R,27,4
ChD_entr_4_BB,1,0,24,1,Wrong,0.591845989006324,4,S01,M,R,27,2
ChD_entr_4_BB,1,0,25,0,Wrong,0.789107505339161,5,S01,M,R,27,3
ChD_entr_4_BB,1,0,26,0,Wrong,0.75153181892656,4,S01,M,R,27,3
ChD_entr_4_BB,1,0,27,1,Wrong,0.751534549593453,4,S01,M,R,27,2
ChD_entr_4_BB,1,0,28,0,Wrong,0.751565610931175,6,S01,M,R,27,3
ChD_entr_4_BB,1,0,29,1,Wrong,0.713961935181105,5,S01,M,R,27,2
ChD_entr_4_BB,1,0,30,0,Wrong,0.836110649360417,6,S01,M,R,27,3
ChD_entr_4_BB,1,0,31,0,Correct,0.713957497846495,5,S01,M,R,27,4
ChD_entr_4_BB,1,0,32,0,Correct,0.732750290387448,5,S01,M,R,27,4
ChD_entr_4_BB,1,0,33,1,Correct,0.911221744846225,6,S01,M,R,27,1
ChD_entr_4_BB,1,0,34,1,Correct,0.620032447150406,6,S01,M,R,27,1
ChD_entr_4_BB,1,0,35,1,Correct,0.666993948498821,4,S01,M,R,27,1
ChD_entr_4_BB,1,0,36,1,Wrong,0.704567245577891,5,S01,M,R,27,2
ChD_entr_4_BB,1,0,37,0,Correct,0.629426454086897,6,S01,M,R,27,4
ChD_entr_4_BB,1,0,38,1,Wrong,0.836076857353983,5,S01,M,R,27,2
ChD_entr_4_BB,1,0,39,1,Correct,0.807895519212143,4,S01,M,R,27,1
ChD_entr_4_BB,1,0,40,0,Correct,0.704563832243366,4,S01,M,R,27,4
ChD_entr_4_BB,1,0,41,1,Wrong,0.70456690424453,6,S01,M,R,27,2
ChD_entr_4_BB,1,0,42,0,Correct,0.713965689848083,6,S01,M,R,27,4
ChD_entr_4_BB,1,0,43,0,Correct,0.666993265832098,4,S01,M,R,27,4
ChD_entr_4_BB,1,0,44,1,Wrong,0.620018793815034,6,S01,M,R,27,2
ChD_entr_4_BB,1,0,45,1,Correct,0.901835588577051,6,S01,M,R,27,1
ChD_entr_4_BB,1,0,46,0,Correct,0.836076857354892,5,S01,M,R,27,4
ChD_entr_4_BB,1,0,47,0,Correct,0.657598576227974,4,S01,M,R,27,4
ChD_entr_4_BB,1,0,48,1,Correct,0.779721007737535,6,S01,M,R,27,1
ChD_entr_4_BB,1,0,49,0,Correct,0.779705647734445,6,S01,M,R,27,4
ChD_entr_4_BB,1,0,50,1,Wrong,0.610634002879306,4,S01,M,R,27,2
