ID,version,Load,frequency,jitter,HR,FAR,Acc,RT,K,K_C,dPrime,criterion,Acc_bsl,K_bsl,Acc_bsl_W,K_bsl_W,K_bsl_C
S01,ChD_v5_MB,5,0,true,0.875,0.166666666666667,0.857142857142857,0.918793805813203,4.25,3.54166666666667,2.11777094647771,-0.0914639071371535,0,0,0,0.109210526315789,0
S01,ChD_v5_MB,6,0,true,0.75,0.0909090909090909,0.833333333333333,0.915218073596617,4.35,3.95454545454545,2.00966748631502,0.330343992961427,0,0,0,0.209210526315789,0
S01,ChD_v5_MB,7,0,true,0.684210526315789,0.304347826086957,0.69047619047619,0.973103330216029,3.82236842105263,2.65903890160183,0.99144186720228,0.0162152802701896,0,0,0,-0.318421052631579,0
S01,ChD_v5_MB,5,4,false,0.791666666666667,0.111111111111111,0.833333333333333,0.829943343045603,3.828125,3.40277777777778,2.03285815034726,0.204211273673719,-0.0277777777777777,-0.0992647058823528,-0.0238095238095237,-0.31266447368421,-0.0392156862745099
S01,ChD_v5_MB,6,4,false,0.933333333333333,0.111111111111111,0.904761904761905,0.88306292073103,5.55,4.93333333333333,2.72172629489137,-0.140222798598338,0.0857142857142857,0.275862068965518,0.0714285714285714,1.40921052631579,0.247509578544061
S01,ChD_v5_MB,7,4,false,0.541666666666667,0.111111111111111,0.69047619047619,0.922363304631951,3.390625,3.01388888888889,1.32527380446143,0.558003446616637,0,-0.112951807228916,0,-0.750164473684211,0.13345046854083
S01,ChD_v5_MB,5,4,true,0.684210526315789,0.173913043478261,0.761904761904762,0.934035947314866,3.08864265927978,2.55148741418764,1.41831997020785,0.229654331772977,-0.111111111111111,-0.273260550757699,-0.0952380952380952,-1.05214681440443,-0.279580024229371
S01,ChD_v5_MB,6,4,true,0.75,0.222222222222222,0.761904761904762,0.939517098394955,4.07142857142857,3.16666666666667,1.43919942398247,0.0451099617951527,-0.0857142857142858,-0.0640394088669951,-0.0714285714285715,-0.0693609022556396,-0.199233716475096
S01,ChD_v5_MB,7,4,true,0.65,0.181818181818182,0.738095238095238,0.943568461502978,4.00555555555556,3.27727272727273,1.29377833494495,0.261568701064909,0.0689655172413794,0.0479250334672024,0.0476190476190477,-0.135233918128654,0.23250273822563
S01,ChD_v5_MB,5,7,false,0.75,0.181818181818182,0.785714285714286,0.893542235870599,3.47222222222222,2.84090909090909,1.58294761873347,0.116984059170652,-0.0833333333333333,-0.183006535947712,-0.0714285714285714,-0.668567251461988,-0.197860962566845
S01,ChD_v5_MB,6,7,false,0.681818181818182,0.2,0.738095238095238,0.865909358397778,3.61363636363636,2.89090909090909,1.31441035456518,0.184416056290324,-0.114285714285714,-0.169278996865204,-0.0952380952380952,-0.527153110047847,-0.268965517241379
S01,ChD_v5_MB,7,7,false,0.761904761904762,0.380952380952381,0.69047619047619,0.956907540840766,4.30769230769231,2.66666666666667,1.0154234804457,-0.204731292166641,0,0.126969416126043,0,0.166902834008097,0.00286861732644856
S01,ChD_v5_MB,5,7,true,0.826086956521739,0.210526315789474,0.80952380952381,0.90259502716698,3.89855072463768,3.07780320366133,1.7434106972372,-0.0671089682583015,-0.0555555555555555,-0.082693947144075,-0.0476190476190476,-0.24223874904653,-0.130973213083861
S01,ChD_v5_MB,6,7,true,0.791666666666667,0.333333333333333,0.738095238095238,0.89235199658178,4.125,2.75,1.24294510079537,-0.190745251102228,-0.114285714285714,-0.0517241379310346,-0.0952380952380952,-0.0157894736842117,-0.304597701149425
S01,ChD_v5_MB,7,7,true,0.625,0.230769230769231,0.714285714285714,0.81088561727876,3.5875,2.75961538461538,1.0549552813405,0.208838276705877,0.0344827586206897,-0.06144578313253,0.0238095238095238,-0.55328947368421,0.0378243744207599
S02,ChD_v5_MB,5,0,true,0.80952380952381,0.142857142857143,0.833333333333333,0.576462258191268,3.88888888888889,3.33333333333333,1.94371337312498,0.0957138373156505,0,0,0,-0.345315904139433,0
S02,ChD_v5_MB,6,0,true,0.708333333333333,0.0555555555555556,0.80952380952381,0.62334509503078,4.14705882352941,3.91666666666667,2.14174110072115,0.522348267662476,0,0,0,-0.087145969498911,0
S02,ChD_v5_MB,7,0,true,0.722222222222222,0.166666666666667,0.785714285714286,0.699502222948781,4.66666666666667,3.88888888888889,1.55687736395148,0.188982884125962,0,0,0,0.432461873638344,0
S02,ChD_v5_MB,5,4,false,0.789473684210526,0.173913043478261,0.80952380952381,0.68236687058928,3.72576177285319,3.07780320366133,1.7434106972372,0.0671089682583015,-0.0285714285714286,-0.0419469726948952,-0.0238095238095238,-0.508443020175137,-0.076659038901602
