ID,version,Load,frequency,HR,FAR,Acc,RT,K,dPrime,criterion,Acc_bsl,K_bsl
S01,ChD_entr_4_BB,4,0,0.666666666666667,0.125,0.770833333333333,0.671302663900413,2.47619047619048,1.58107667967147,0.359811040540275,0,0
S01,ChD_entr_4_BB,5,0,0.375,0.125,0.625,0.717483592670785,1.42857142857143,0.831710016411633,0.734494372170192,0,0
S01,ChD_entr_4_BB,6,0,0.583333333333333,0.25,0.666666666666667,0.728840316386764,2.66666666666667,0.884918144444007,0.232030677974079,0,0
S01,ChD_entr_4_BB,4,4,0.875,0.0416666666666667,0.916666666666667,0.659167650273928,3.47826086956522,2.88201377649825,0.290657507873119,0.189189189189189,0.404682274247492
S01,ChD_entr_4_BB,5,4,0.583333333333333,0.0416666666666667,0.770833333333333,0.635684780488434,2.82608695652174,1.94209279037017,0.76061800093716,0.233333333333333,0.978260869565218
S01,ChD_entr_4_BB,6,4,0.333333333333333,0,0.666666666666667,0.658774363095674,2,Inf,Inf,0,-0.25
S01,ChD_entr_4_BB,4,7,0.75,0.0833333333333333,0.833333333333333,0.682455245359335,2.90909090909091,2.05748387729672,0.354252188452278,0.0810810810810811,0.174825174825175
S01,ChD_entr_4_BB,5,7,0.625,0.0833333333333333,0.770833333333333,0.688718329094826,2.95454545454545,1.70163349106501,0.532177381568132,0.233333333333333,1.06818181818182
S01,ChD_entr_4_BB,6,7,0.291666666666667,0,0.645833333333333,0.68304222145952,1.75,Inf,Inf,-0.0312499999999999,-0.34375
S02,ChD_entr_4_BB,4,0,0.833333333333333,0.125,0.854166666666667,0.528839880189242,3.23809523809524,2.11777094647771,0.0914639071371535,0,0
S02,ChD_entr_4_BB,5,0,0.833333333333333,0,0.916666666666667,0.559341623350312,4.16666666666667,Inf,Inf,0,0
S02,ChD_entr_4_BB,6,0,0.583333333333333,0,0.770833333333333,0.595962427584783,3.5,Inf,Inf,0,0
S02,ChD_entr_4_BB,4,4,0.916666666666667,0.125,0.895833333333333,0.613069599381689,3.61904761904762,2.53334350747665,-0.116322373362315,0.0487804878048781,0.117647058823529
S02,ChD_entr_4_BB,5,4,0.916666666666667,0.0833333333333333,0.916666666666667,0.63471519809813,4.54545454545454,2.76598825420128,1.11022302462516e-16,0,0.0909090909090907
S02,ChD_entr_4_BB,6,4,0.625,0,0.8125,0.641015107155299,3.75,Inf,Inf,0.054054054054054,0.0714285714285714
S02,ChD_entr_4_BB,4,7,0.916666666666667,0,0.958333333333333,0.584531652467043,3.66666666666667,Inf,Inf,0.121951219512195,0.132352941176471
S02,ChD_entr_4_BB,5,7,0.958333333333333,0,0.979166666666667,0.615232439786328,4.79166666666667,Inf,Inf,0.0681818181818182,0.15
S02,ChD_entr_4_BB,6,7,0.75,0,0.875,0.664035860310736,4.5,Inf,Inf,0.135135135135135,0.285714285714286
S03,ChD_entr_4_BB,4,0,0.833333333333333,0,0.916666666666667,0.706529169278789,3.33333333333333,Inf,Inf,0,0
S03,ChD_entr_4_BB,5,0,0.875,0.0416666666666667,0.916666666666667,0.726296817095875,4.34782608695652,2.88201377649825,0.290657507873119,0,0
S03,ChD_entr_4_BB,6,0,0.666666666666667,0.0416666666666667,0.8125,0.836596776606445,3.91304347826087,2.1623916954177,0.650468548413394,0,0
S03,ChD_entr_4_BB,4,4,0.916666666666667,0.0416666666666667,0.9375,0.884231663453399,3.65217391304348,3.11465852322288,0.174335134510804,0.0227272727272728,0.0956521739130434
S03,ChD_entr_4_BB,5,4,0.75,0,0.875,0.886407359611269,3.75,Inf,Inf,-0.0454545454545454,-0.1375
S03,ChD_entr_4_BB,6,4,0.791666666666667,0,0.895833333333333,0.862090573525244,4.75,Inf,Inf,0.102564102564103,0.213888888888889
S03,ChD_entr_4_BB,4,7,0.833333333333333,0,0.916666666666667,0.616987457578295,3.33333333333333,Inf,Inf,0,0
S03,ChD_entr_4_BB,5,7,0.666666666666667,0,0.833333333333333,0.717203703225241,3.33333333333333,Inf,Inf,-0.0909090909090908,-0.233333333333333
S03,ChD_entr_4_BB,6,7,0.708333333333333,0.0416666666666667,0.833333333333333,0.7664222572584,4.17391304347826,2.28018667882034,0.591571056712074,0.0256410256410257,0.0666666666666668
S04,ChD_entr_4_BB,4,0,0.791666666666667,0,0.895833333333333,0.715941815656818,3.16666666666667,Inf,Inf,0,0
S04,ChD_entr_4_BB,5,0,0.833333333333333,0.0416666666666667,0.895833333333333,0.730172969302779,4.1304347826087,2.69908596222395,0.382121415010272,0,0
S04,ChD_entr_4_BB,6,0,0.708333333333333,0,0.854166666666667,0.776816314650811,4.25,Inf,Inf,0,0
S04,ChD_entr_4_BB,4,4,0.791666666666667,0.0833333333333333,0.854166666666667,0.498925623874553,3.09090909090909,2.19521192860055,0.285388162800363,-0.0465116279069768,-0.0239234449760765
S04,ChD_entr_4_BB,5,4,0.666666666666667,0,0.833333333333333,0.517901915254697,3.33333333333333,Inf,Inf,-0.0697674418604651,-0.192982456140351
S04,ChD_entr_4_BB,6,4,0.458333333333333,0,0.729166666666667,0.535688619091161,2.75,Inf,Inf,-0.146341463414634,-0.352941176470588
S04,ChD_entr_4_BB,4,7,0.875,0,0.9375,0.665738930784695,3.5,Inf,Inf,0.0465116279069767,0.105263157894737
S04,ChD_entr_4_BB,5,7,0.875,0.0416666666666667,0.916666666666667,0.704480068205885,4.34782608695652,2.88201377649825,0.290657507873119,0.0232558139534883,0.0526315789473684
S04,ChD_entr_4_BB,6,7,0.708333333333333,0,0.854166666666667,0.678193486225488,4.25,Inf,Inf,0,0
