version,block,frequency,jitter,trial,change,response,RT,loads,ID,gender,hand,age,fixCrossFrameB,targetFrameB,fixCrossFrameA,targetFrameA,resp_type
ChD_entr_4,2,7,false,11,1,Correct,0.750890797928266,4,S01,M,R,20,10,3,5,12,1
ChD_entr_4,2,7,false,12,0,Correct,0.68351299524072,4,S01,M,R,20,1,9,14,6,4
ChD_entr_4,2,7,false,13,0,Correct,1.31878907924708,5,S01,M,R,20,14,7,1,8,4
ChD_entr_4,2,7,false,14,0,Correct,0.933770674556823,6,S01,M,R,20,6,14,9,1,4
ChD_entr_4,2,7,false,15,0,Correct,0.895272486353789,5,S01,M,R,20,8,1,7,14,4
ChD_entr_4,2,7,false,16,0,Correct,0.866395943868849,5,S01,M,R,20,14,7,1,8,4
ChD_entr_4,2,7,false,17,1,Wrong,0.548758413865486,5,S01,M,R,20,8,1,7,14,2
ChD_entr_4,2,7,false,18,0,Correct,0.673965077510309,4,S01,M,R,20,5,13,10,2,4
ChD_entr_4,2,7,false,19,0,Correct,1.06852730393177,5,S01,M,R,20,4,12,11,3,4
ChD_entr_4,2,7,false,20,1,Wrong,0.750889432595047,5,S01,M,R,20,7,15,8,0,2
ChD_entr_4,2,7,false,21,0,Correct,0.722016303442814,6,S01,M,R,20,13,6,2,9,4
ChD_entr_4,2,7,false,22,1,Wrong,0.500631070612449,4,S01,M,R,20,7,15,8,0,2
ChD_entr_4,2,7,false,23,1,Wrong,0.914538305785703,4,S01,M,R,20,9,2,6,13,2
ChD_entr_4,2,7,false,24,0,Correct,0.827894683666243,4,S01,M,R,20,13,6,2,9,4
ChD_entr_4,2,7,false,25,0,Correct,0.760530534309749,6,S01,M,R,20,11,4,4,11,4
ChD_entr_4,2,7,false,26,1,Correct,0.64501241770461,6,S01,M,R,20,1,9,14,6,1
ChD_entr_4,2,7,false,27,1,Correct,0.818268941949174,4,S01,M,R,20,3,11,12,4,1
ChD_entr_4,2,7,false,28,1,Wrong,0.616136899219528,4,S01,M,R,20,2,10,13,5,2
ChD_entr_4,2,7,false,29,0,Correct,0.47175316279429,4,S01,M,R,20,7,15,8,0,4
ChD_entr_4,2,7,false,30,0,Correct,0.577632908350711,5,S01,M,R,20,12,5,3,10,4
ChD_entr_4,2,7,false,31,0,Correct,0.693136006291579,6,S01,M,R,20,6,14,9,1,4
ChD_entr_4,2,7,false,32,1,Wrong,0.722013914109965,6,S01,M,R,20,3,11,12,4,2
ChD_entr_4,2,7,false,33,1,Wrong,1.0492771858304,5,S01,M,R,20,12,5,3,10,2
ChD_entr_4,2,7,false,34,1,Correct,0.683515043240208,5,S01,M,R,20,2,10,13,5,1
ChD_entr_4,2,7,false,35,0,Correct,0.510255446996754,4,S01,M,R,20,15,8,0,7,4
