ID,Load,frequency,HR,FAR,Acc,RT,K,gender,dPrime,criterion,Acc_bsl,K_bsl,K_bsl_ave,HR_bsl,FAR_bsl,rP_mean_raw,rP_mean,rP_trial_var,rP_mean_bsl,rP_trial_CoV,rP_mean_bslSub_del,rP_trial_var_del,rP_trial_CoV_del,rP_mean_bslSub_del_raw
S08,7,0,0.733333333333333,0.333333333333333,0.6,1.32351646615526,4.2,M,1.05365302250555,-0.096099211957315,0,0,0.0992683650422997,-0.0373548046462513,0.00606980273141121,2.84885731828693,-0.214750138770804,0.586751647673609,0,-3.56692276631372,0.189791824036281,0.567517306444744,3.96928291876896,0.0520874179259513
S08,5,4,0.882352941176471,0.307692307692308,0.733333333333333,1.1787443057868,4.15032679738562,M,1.68923365612917,-0.342214604691231,0,0.0889848294057681,0.0862673697507942,0.158262935586061,-0.0713201820940819,2.82496936230915,-0.301791096415627,0.787004688342799,-0.479227490196743,-2.93955937601249,0.252504311036938,0.615084923917478,3.10598063649006,0.0692985466780233
S08,6,4,0.833333333333333,0.277777777777778,0.733333333333333,1.41322165813799,4.61538461538462,M,1.55687736395148,-0.188982884125962,0.1,0.337412587412588,0.207987214332198,0.0939149947201691,-0.161608497723824,2.88560354053232,-0.0808572943163177,0.957536323832219,0.056374398494615,-12.1020355460592,-0.391060567829191,1.21976848872028,-2.82419499016508,-0.107324619141576
S08,7,4,0.625,0.5,0.5,1.31633966146259,1.75,M,0.318639363964375,-0.159319681982188,-0.166666666666667,-0.583333333333333,-0.541971514565708,-0.179563753959873,0.509104704097117,2.73757212507767,-0.620241918713551,0.575164459014958,-0.405491779942747,-1.22274221530921,0.363787191097158,0.637831765311728,2.19535960350537,0.0998395771525088
S08,5,7,1,0.0588235294117647,0.933333333333333,1.14958234538043,5,M,Inf,-Inf,0.272727272727273,0.311926605504587,0.308652815526547,0.312697993664203,-0.822458270106222,2.89922534855862,-0.0312232772172706,0.604636661045309,-0.208659670998387,-24.9039796716553,0.352072751014838,0.481489728121026,1.97088416186536,0.0966246075960765
S08,6,7,0.588235294117647,0.615384615384615,0.5,1.20913739275962,-0.423529411764706,M,-0.0703734011808266,-0.25819453153078,-0.25,-1.12272727272727,-1.11085059143284,-0.227824709609292,0.857359635811836,2.83889929076669,-0.251034375581252,0.929193499068643,-0.113802682770319,-3.83989974248938,0.145153259467395,0.690091587836651,5.72303727046759,0.0398365868897859
S08,7,7,0.866666666666667,0.4,0.733333333333333,1.2911297045345,5.44444444444444,M,1.36411871977259,-0.428712256750493,0.222222222222222,0.296296296296297,0.424977510240018,0.137671594508976,0.207283763277694,2.88313566175807,-0.0898495468163592,0.759247532068154,0.124900591954445,-9.69785761586464,0.0840979886675039,0.928371018976607,11.457112516981,0.0230802728447293
S09,5,0,0.933333333333333,0.2,0.866666666666667,0.831523117733278,4.58333333333333,F,2.34270717961694,-0.329732356235555,0,0,0.594795539033457,0.61206305688828,0.307392996108949,3.03018474235921,-0.128764921130124,0.825921085801273,0,-7.05783840702982,-0.200147709625097,0.527386235455175,-3.62838840729834,-0.0357117685272765
S09,6,0,0.375,0.0714285714285714,0.633333333333333,0.809258236533264,1.96153846153846,F,1.14659442872115,0.891936578324949,0,0,-0.317472118959108,-0.352296093214531,-0.53307392996109,3.10879339742446,0.31179971391452,1.28477377101681,0,3.63527791903977,-0.074012260328761,0.812852568521883,-12.181540780921,-0.0132057904334362
S09,7,0,0.428571428571429,0.1875,0.633333333333333,0.86865419946666,2.07692307692308,F,0.707134189226171,0.533579464405791,0,0,-0.27732342007435,-0.259766963673749,0.22568093385214,3.10655277857625,0.299242096380979,0.62843458116293,0,2.64915487624135,-0.0934332053271781,0.518626611892208,-7.70772392591638,-0.0166710126618768
S09,5,4,0.583333333333333,0.277777777777778,0.666666666666667,0.767406379999966,2.11538461538462,F,0.799884192097703,0.189513701800927,-0.230769230769231,-0.538461538461538,-0.263940520446097,0.00753941055517475,0.815823605706874,3.02381476747942,-0.164465642072756,0.79727898458891,-0.0357007209426319,-5.42912665693061,-0.0775731007713582,0.408647486933058,-8.24068407322653,-0.0138411407448975
S09,6,4,0.705882352941177,0.384615384615385,0.666666666666667,0.783363293600058,3.13235294117647,F,0.834776317250281,-0.124006926503947,0.0526315789473684,0.596885813148789,0.0899190903127051,0.219207353949119,1.51421730020952,3.0405897866036,-0.07044952931549,0.455212406176313,-0.38224924323001,-9.5769881258184,0.108842500479535,0.743225379694765,7.92066700435722,0.0194204479798242
S09,7,4,0.6875,0.0714285714285714,0.8,0.783758968466586,4.64423076923077,F,1.95401020380019,0.488228690785427,0.263157894736842,1.23611111111111,0.615985130111524,0.187457162440027,-0.53307392996109,2.83261209536728,-0.102105353682702,1.0108478463718,-0.401347450063681,-9.84678331446851,-0.045874233634651,0.494185220911775,-15.3241380077253,-0.00763952457044098
S09,5,7,0.823529411764706,0.230769230769231,0.8,0.839585882733308,3.85294117647059,F,1.6652154090234,-0.0962917871355706,-0.0769230769230769,-0.159358288770054,0.34065165099497,0.422408579607305,0.508530380125711,2.91613907839857,-0.204365245362605,0.637854048512666,-0.0756003242324813,-3.90799156050531,-0.0315239291088722,0.480251062672601,-21.9833475016644,-0.00543723143005004
S09,6,7,0.733333333333333,0.533333333333333,0.6,0.823045676066658,2.57142857142857,F,0.539273989302959,-0.353288728558608,-0.0526315789473684,0.310924369747899,-0.105257567711099,0.266620973269362,2.4863813229572,3.00431771036651,-0.273737500804616,0.819432496654459,-0.585537214719136,-3.30690937710709,0.0676286025584484,0.643328756199184,11.8600376773235,0.0120667731092921
S09,7,7,0.461538461538462,0.352941176470588,0.566666666666667,0.88676619560002,1.17482517482518,F,0.280833328538915,0.236975279559096,-0.105263157894737,-0.434343434343434,-0.591213247718824,-0.202825960879422,1.3071641107805,3.0022058639439,-0.285573409301904,0.862381367021467,-0.584815505682883,-3.25186056809496,-0.198252991802379,0.403559470056325,-3.20430628502715,-0.0353736995859123
S10,5,0,0.6,0.133333333333333,0.733333333333333,1.03117382560017,2.69230769230769,F,1.36411871977259,0.428712256750493,0,0,-0.0840656500387697,0.0519480519480518,-0.272727272727273,3.00189729105448,0.0680965508839578,0.915451537466466,0,14.0505253844568,0.458817591175809,0.43802724086241,1.44248232221098,0.0716382382689934
